company,department,title,salary,currency,gender,race,sexual_orientation,exp_years,country,city,inhouse,nb_jobs,happy_salary,nb_awards_top,nb_awards_inter,nb_awards_local
,Client Services / Account Management,account executive,commission,USD,,,,5,USA,miami,,,,,,
Paradise Advertising,Client Services / Account Management,Account Executive,"40,000",USD,Female,White,Heterosexual,3,USA,"St. Petersburg, FL",In-house,,,,,
Traction Factory,Client Services / Account Management,Account Executive,"$60,000",USD,Female,Caucasian/White,Heterosexual,5,USA,Milwaukee,External,,,,,
,Client Services / Account Management,Account Executive,72000,USD,Female,White,Heterosexual,3,USA,New York,External,,,,,
,Client Services / Account Management,Account Executive,"$76,000",USD,Female,White,Heterosexual,4,USA,St. Louis,External,,,,,
,Client Services / Account Management,Account Executive,53000,USD,Female,Asian,,2.5,United States,Boston,External,,,,,
,Client Services / Account Management,Account Executive,55000,USD,Female,Asian,Bisexual,2,United States,Richmond,In-house,,,,,
TBWA Chiat,Client Services / Account Management,Account executive,"70,000",USD,Female,White,Heterosexual,3,United States,Los Angeles,In-house,,,,,
TBWA Chiat,Client Services / Account Management,Account executive,"70,000",USD,Female,White,Heterosexual,3,United States,Los Angeles,In-house,,,,,
,Client Services / Account Management,Account Executive,"$45,000",USD,Female,White,Heterosexual,7,United States,Honolulu,In-house,,,,,
,Client Services / Account Management,Account Executive,"51,000",USD,Female,White,Heterosexual,3,United States,New York,,,,,,
JL,Client Services / Account Management,Account executive,65k + 5k bonus,USD,Female,"White, non american",Heterosexual,3,United States,New York,In-house,,,,,
LEWIS Global Communications,Client Services / Account Management,Account Executive,"50,000",USD,Female,White,Heterosexual,2,United States,Boston,External,,,,,
GREY,Client Services / Account Management,Account Executive,45,CAD,Female,Asian,cis hetero,3,Canada,Major Metropolitan City (would be a giveaway if named),,,,,,
,Client Services / Account Management,Account Executive,"49,500",USD,Woman,White,Heterosexual,3,United States,Chicago,External,,,,,
MMGY Global,Client Services / Account Management,Account Executive,"53,000",USD,Female,White,,3,United States,Los Angeles,In-house,,,,,
MMGY Global,Client Services / Account Management,Account Executive,"55,000",USD,Female,White,Heterosexual,2.5,United States,Los Angeles,In-house,,,,,
,Client Services / Account Management,Account Executive,"55,000",USD,Female,White,Heterosexual,5,United States,Atlanta,,,,,,
Creative Solutions Group,Client Services / Account Management,Account Executive,45000,USD,Female,White,Heterosexual,8,United States,Detroit,In-house,,,,,
Geometry,Client Services / Account Management,Account Executive,42000,USD,Female,White,Heterosexual,2.5,United States,Cleveland,External,,,,,
,Client Services / Account Management,Account Executive,70000,USD,Woman,White,Heterosexual,5,United States,Los Angeles,External,,,,,
,Client Services / Account Management,Account Executive,"57,000",USD,,,,6,United States,Phoenix,,,,,,
VMLY&R,Client Services / Account Management,Account Executive,"60,000",USD,Female,White,Heterosexual,3,United States,New York,External,,,,,
AKQA,Client Services / Account Management,Account Executive,"58,000",USD,Female,White,Heterosexual,2,United States,New York,External,,,,,
,Client Services / Account Management,Account Executive,"70,000",USD,Cis,White,Heterosexual,10,United States,Austin,External,,,,,
,Client Services / Account Management,Account Executive,Rp. 4.500.000,IDR,Female,Asian,Bisexual,1,Indonesia,Jakarta,In-house,,,,,
,Client Services / Account Management,Account Executive,"$60,000",USD,M,Mexican American,Heterosexual,9,United States,San Antonio,Agency,3,,,,
,Client Services / Account Management,Account Executive,65000,USD,,White,Heterosexual,2,United States,New York,In-house,3,No,1,1,1
,Client Services / Account Management,Account Executive,22000,GBP,Female,White,Heterosexual,2,UK,London,In-house,3,No,,1,2
,Client Services / Account Management,Account Executive,"55,000",USD,female,White,Heterosexual,2,United States,San Francisco,External,2,No,,,
Johannes Leonardo,Client Services / Account Management,Account Executive,"75,000",USD,female,White,Heterosexual,3.5,United States,New York,External,2,Yes,1,1,1
,Client Services / Account Management,Account Executive,"22,000",GBP,Female,White,Heterosexual,2,UK,London,In-house,2,No,0,0,0
,Client Services / Account Management,Account Executive,"$70,000",USD,Female,White,Heterosexual,15,United States,Phoenix,In-house,3,Yes,,,
,Client Services / Account Management,Account Executive,"47,000",USD,,,,4,United States,Chicago,,1,,,,
FCB Chicago,Client Services / Account Management,Account Executive,"60,000",USD,Female,Black,Heterosexual,3,United States,Chicago,In-house,3,No,0,0,0
McGarrah Jessee,Client Services / Account Management,Account Executive,"56,500",,Female,Hispanic,Bisexual,5,USA,Austin,Agency,,,,,
FCB,Client Services / Account Management,Account Executive,55000,,Female,Black,,2,USA,Chicago,,,,,,
